timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,gps_lat,gps_lon,gps_alt,gps_accuracy,gps_speed,gps_course,pressure,altitude,roll,pitch,yaw
275981.785375,8.31385728,0.80187921,4.1971202100000005,-0.368687,1.481164,0.334211,-22.609283,119.422287,-122.276367,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,2.055164,-0.135622,-1.353009
275981.845325,7.522003890000001,0.7286868000000001,5.17473576,-0.515344,1.675791,0.298341,-27.547623,116.831207,-115.571609,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,2.145784,-0.106914,-1.340059
275981.865308,7.566462810000001,0.91265373,5.2814685599999995,-0.479644,1.696108,0.296037,-26.677139,117.219864,-116.792648,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,2.178176,-0.096335,-1.331031
275981.885291,7.146889110000001,1.2651662700000001,5.4660339,-0.399268,1.586604,0.345289,-29.363174,115.875076,-113.048508,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,2.211063,-0.085849,-1.326233
275981.905274,7.375167810000001,1.1795445900000001,6.10909902,-0.367552,1.50404,0.394308,-32.858505,114.040924,-109.305618,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,2.24426,-0.075519,-1.322828
275981.925257,7.33220001,0.8264336400000001,6.2405235900000005,-0.331935,1.448237,0.348638,-30.212494,115.717087,-113.097641,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,2.27669,-0.064994,-1.321504
275981.94524,7.40764872,0.37855809,6.195466260000001,-0.275541,1.378888,0.283361,-30.753708,115.718384,-112.474091,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,2.307355,-0.054701,-1.32128
275981.94524,7.40764872,0.37855809,6.195466260000001,-0.275541,1.378888,0.283361,-30.753708,115.718384,-112.474091,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,2.307355,-0.054701,-1.32128
275981.985207,6.27211179,0.51118929,6.73284825,-0.18332,1.39684,0.124672,-32.416611,114.893661,-110.994064,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.064171,-0.882534,2.364083,-0.038868,-1.320756
275981.985207,6.27211179,0.51118929,6.73284825,-0.18332,1.39684,0.124672,-32.416611,114.893661,-110.994064,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.064171,-0.882534,2.364083,-0.038868,-1.320756
275982.025173,6.55502238,0.62465175,7.164998370000001,-0.050535,1.445894,0.027265,-34.842621,114.739731,-109.572739,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.064171,-0.882534,2.420144,-0.029857,-1.319645
275982.025173,6.55502238,0.62465175,7.164998370000001,-0.050535,1.445894,0.027265,-34.842621,114.739731,-109.572739,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.064171,-0.882534,2.420144,-0.029857,-1.319645
275982.025173,6.55502238,0.62465175,7.164998370000001,-0.050535,1.445894,0.027265,-34.842621,114.739731,-109.572739,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.064171,-0.882534,2.420144,-0.029857,-1.319645
275982.065139,5.214260250000001,0.10733121,7.469471340000001,0.022832,1.540765,-0.038502,-37.025925,114.501617,-108.215195,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.064171,-0.882534,2.477923,-0.027401,-1.318908
275982.105105,5.42801034,0.54845748,7.997268960000001,0.0499,1.62137,-0.163613,-39.916061,114.302856,-106.567368,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.064171,-0.882534,2.539182,-0.029016,-1.317818
275982.125089,4.73495346,0.66371517,8.03498841,0.066545,1.710417,-0.180848,-40.900269,114.709351,-106.842056,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.064171,-0.882534,2.571192,-0.031106,-1.315883
275982.145072,4.0478806800000005,0.55983708,8.42508306,0.071521,1.812334,-0.1859,-42.567078,114.643448,-106.0336,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.064171,-0.882534,2.604405,-0.033869,-1.313453
275982.185038,4.32585684,0.33335360999999997,9.13804443,0.07131,1.862095,-0.328153,-46.332047,114.578659,-104.862488,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.064171,-0.882534,2.676407,-0.040125,-1.307796
275982.205021,3.8972971800000002,0.25147935000000005,9.27651258,0.054411,1.832796,-0.397236,-47.524719,114.879028,-104.457779,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.064171,-0.882534,2.713721,-0.043907,-1.303291
275982.225004,3.83532741,0.41583609000000005,9.56615283,0.038453,1.721864,-0.459658,-48.983536,115.122955,-104.588684,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.064171,-0.882534,2.751071,-0.047958,-1.297071
275982.244987,3.75090255,0.6515998199999999,9.72901845,0.029728,1.567559,-0.515709,-50.694153,114.994186,-104.067429,60.18793,24.830314,19.234575,13.745886,0.129585,-1.0,102.064171,-0.882534,2.787185,-0.051911,-1.289427
