timestamp,x,y,theta,vx,vy,bias_accel_x,bias_accel_y,bias_angular_velocity,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,cov_trace
1757932199.358026,-0.8266310886615251,1.2885751260752163,2.141666417219703,-0.4810575143817958,0.7490972845067707,-3.370277433017751,0.1774736581065089,1.1563464942860553e-14,0.15582204,0.25940583,9.78201207,0.003818,-0.001118,0.003785,0.06253368506244622
1757932199.378833,-0.8268471428405194,1.2889002265764076,2.1416661576169282,-0.48103063625875614,0.7490558542032358,-3.370277433017751,0.1774736581065089,1.0854116465501676e-14,0.15223158,0.26734212,9.77018121,0.002178,0.000684,0.003989,0.06252113138116282
1757932199.3994703,-0.8262781361282245,1.288002974345717,2.1416658913323223,-0.48101717771596875,0.7490353318066489,-3.370277433017751,0.1774736581065089,1.0191567927284099e-14,0.15986376000000002,0.27108954,9.76180347,0.004554,-0.001274,0.003948,0.0622435028180726
1757932199.4201732,-0.8264115430935819,1.288199641010158,2.1416656193639625,-0.4810077249911705,0.7490210575355453,-3.370277433017751,0.1774736581065089,9.56955788180456e-15,0.14250006,0.26913735,9.771976440000001,0.001702,0.000484,0.004737,0.06226671138150154
1757932199.4408133,-0.8286186769477791,1.2916256031151652,2.141665343992752,-0.480966936572931,0.7489579825197065,-3.370277433017751,0.1774736581065089,8.978133054013057e-15,0.15822549000000002,0.27527841000000003,9.75416148,0.001957,-0.000134,0.003717,0.06299098232379449
1757932199.460771,-0.8266042208671303,1.2884778832033064,2.141665061237374,-0.4809591433699915,0.7489462969528748,-3.370277433017751,0.1774736581065089,8.431221149315393e-15,0.16375833,0.26839179,9.76254903,0.003535,-0.002025,0.003689,0.06211361784836669
1757932199.4823022,-0.8294526965359825,1.2929027826661432,2.1416647760857366,-0.48091104498181314,0.7488718457851107,-3.370277433017751,0.1774736581065089,7.90897616661619e-15,0.15163317,0.27273762,9.75431844,0.004525,-0.001054,0.005514,0.06309878278967715
1757932199.5035162,-0.8274934818552518,1.2898413162550104,2.1416644842113994,-0.48089522130335316,0.7488476618630994,-3.370277433017751,0.1774736581065089,7.426009420514726e-15,0.15163317,0.27273762,9.75431844,0.004525,-0.001054,0.005514,0.062222938498569996
1757932199.5280502,-0.8273973458873229,1.2896707794226072,2.1416638880706973,-0.48085521221081323,0.7487862949511798,-3.370277433017751,0.1774736581065089,6.544405861519975e-15,0.14969079000000002,0.25012557,9.77617512,0.002184,-0.000284,0.005282,0.062059711497056455
1757932199.5505273,-0.8286531944037425,1.291616139406122,2.141663583794921,-0.48083752953989684,0.7487592394725853,-3.370277433017751,0.1774736581065089,6.143185856955161e-15,0.14969079000000002,0.27198225000000004,9.75401433,0.00237,-0.000989,0.004813,0.06251916503903227
1757932199.5710893,-0.827656302118015,1.2900536610108835,2.1416632745783684,-0.4808388816808234,0.748761832183703,-3.370277433017751,0.1774736581065089,5.769331715758556e-15,0.16165899,0.26405577,9.755809560000001,0.001525,0.001995,0.004229,0.06210060057851106
1757932199.5914896,-0.827656302118015,1.2900536610108835,2.1416632745783684,-0.4808388816808234,0.748761832183703,-3.370277433017751,0.1774736581065089,5.769331715758556e-15,0.16165899,0.26405577,9.755809560000001,0.001525,0.001995,0.004229,0.06210060057851106
1757932199.615019,-0.8312706556944537,1.295661911162993,2.1416626541070904,-0.4806176608792508,0.748418226480801,-3.370277433017751,0.1774736581065089,5.0659344359232645e-15,0.14654178,0.26794053,9.76434426,0.002683,0.001153,0.004322,0.06271685052509676
1757932199.6356306,-0.8295399736601992,1.2929570854436774,2.141662335820458,-0.4805859058173392,0.7483692547561603,-3.370277433017751,0.1774736581065089,4.756486714516064e-15,0.14998509000000002,0.27557271000000005,9.77377167,0.002682,0.000616,0.00429,0.06205219754017706
